Sl. No.,Heads of Crime,Major Heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,
520,B - SPECIAL & LOCAL LAWS,CONSUMER,Liquified Petroleum Gas Supply & Control Order 2000 ,41,4,6,4,,
521,B - SPECIAL & LOCAL LAWS,CONSUMER,Consumer (Protection) Act 1986,5,1,1,1,,
522,B - SPECIAL & LOCAL LAWS,CONSUMER,Essential Commodities Act 1955,263,52,46,44,,
523,B - SPECIAL & LOCAL LAWS,CONSUMER,Prevention of Food Adulternation Act 1954,3,0,0,3,,
524,B - SPECIAL & LOCAL LAWS,CONSUMER,Packaged Commodities (Regulation) order 1975,0,0,0,0,,
525,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1957,By Company,75,12,13,15,,
526,B - SPECIAL & LOCAL LAWS,COPY RIGHT ACT 1958,By Individual,49,9,7,13,,
527,B - SPECIAL & LOCAL LAWS,CIVIL RIGHTS,Protection of Civil Rights Act 1955,0,2,0,0,,
528,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste  ,678,104,103,98,,
529,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes,143,32,22,9,,
530,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Caste Women,255,51,43,33,,
531,B - SPECIAL & LOCAL LAWS,SCHEDULED CASTE AND THE SCHEDULED TRIBES,Scheduled Tribes Women,60,15,7,8,,
532,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Labour (Prohibition & Regulation) Act1986,49,18,4,19,,
533,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Child Marriage (Restraint) Act - 1929,86,17,18,22,,
534,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Juvenile Justice Act 1986,84,7,19,10,,
535,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Probation of offenders Act 1958,0,0,0,0,,
536,B - SPECIAL & LOCAL LAWS,CHILDREN ACT,Protection of Children from Sexual Offences Act 2012 (POCSO),0,0,0,0,,
537,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1988,Public Servant - Elected,0,0,0,0,,
538,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1989,Public Servant - Gazetted - Central,0,0,0,0,,
539,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1990,Public Servant - Gazetted - Defence,0,0,0,0,,
540,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1991,Public Servant - Gazetted - Public Sector Undertaking,0,0,0,0,,
541,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1992,Public Servant - Gazetted - State,0,0,0,0,,
542,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1993,Public Servant - Non-Gazetted - Central,0,0,0,0,,
543,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1994,Public Servant - Non-Gazetted - Defence,0,0,0,0,,
544,B - SPECIAL & LOCAL LAWS,PREVENTION OF CORRUPTION ACT 1995,Public Servant - Non-Gazetted - State,0,0,0,0,,
545,B - SPECIAL & LOCAL LAWS,CUSTOMS,Customs Act 1962,0,0,0,0,,
546,B - SPECIAL & LOCAL LAWS,CUSTOMS,Import/Export (Control) Act 1947,0,0,0,0,,
547,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Substances Act 1908,15,4,2,1,,
548,B - SPECIAL & LOCAL LAWS,Explosives,Explosives Act 1884,25,1,2,3,,
549,B - SPECIAL & LOCAL LAWS,Explosives,Inflammable Substance Act 1952,0,0,0,0,,
550,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Smugglers and Foreign Exchange Manipulator Act 1976,0,0,0,0,,
551,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1973,0,0,0,0,,
552,B - SPECIAL & LOCAL LAWS,FOREIGN EXCHANGE,Foreign Exchange Regulation Act 1952,0,0,0,0,,
553,B - SPECIAL & LOCAL LAWS,FOREIGNER,Foreigners Act 1946,28,0,6,21,,
554,B - SPECIAL & LOCAL LAWS,FOREIGNER,Registration of Foreigners Act 1939,0,0,0,0,,
555,B - SPECIAL & LOCAL LAWS,FOREST,Indian Forest Act 1927,2,0,0,0,,
556,B - SPECIAL & LOCAL LAWS,FOREST,Forest (Conservation) Act 1980,5,0,0,0,,
557,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - In India,0,0,0,0,,
558,B - SPECIAL & LOCAL LAWS,HIJACKING,Foreign Aircraft - Outside India,0,0,0,0,,
559,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - In India,0,0,0,0,,
560,B - SPECIAL & LOCAL LAWS,HIJACKING,Indian Aircraft - Outside India,0,0,0,0,,
561,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Organised,121,24,24,18,,
562,B - SPECIAL & LOCAL LAWS,IMMORAL TRAFFIC,Un-Organised,43,10,6,4,,
563,B - SPECIAL & LOCAL LAWS,BONDED LABOUR SYSTEM,NA,0,1,0,0,,
564,B - SPECIAL & LOCAL LAWS,INDIAN MOTOR VEHICLE,NA,51,0,3,16,,
565,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Cultivated/Processed,642,828,74,133,,
566,B - SPECIAL & LOCAL LAWS,NARCOTIC DRUGS & PSYCHOTROPIC SUBSTANCES ACT,Synthetic,1067,462,169,189,,
567,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Foreigner,1,0,0,0,,
568,B - SPECIAL & LOCAL LAWS,PASSPORT ACT,Indian,1,0,0,0,,
569,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1988,Assembly,4,0,0,1,,
570,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1989,Parliament,101,0,24,1,,
571,B - SPECIAL & LOCAL LAWS,REPRESENTATIVE OF PEOPLE ACT 1951 & 1990,Other Elected Bodies,10,0,4,0,,
572,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1963,Gambling - Matka (78 Class C),2479,701,305,410,,
573,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1964,Street Gambling (87),3082,583,413,476,,
574,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1965,House Gambling (79 & 80),125,46,20,30,,
575,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1966,Betting ,377,11,115,19,,
576,B - SPECIAL & LOCAL LAWS,KARNATAKA POLICE ACT 1967,Others ,324,41,30,36,,
577,B - SPECIAL & LOCAL LAWS,PREVENTION OF DAMAGE TO PUBLIC PROPERTY ACT 1984,NA,91,13,20,18,,
578,B - SPECIAL & LOCAL LAWS,"POST & TELEGRAPH, TELEGRAPH WIRES (UNLAWFUL POSSESSION) ACT 1980",NA,1,0,0,1,,
579,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Official Secrets Act 1923,0,0,0,0,,
580,B - SPECIAL & LOCAL LAWS,OFFICIAL SECURITY RELATED ACTS,Essential Services Maintenance Act 1981,0,0,0,0,,
581,B - SPECIAL & LOCAL LAWS,PREVENTION OF TERRORISM ACT (POTA),NA,0,0,0,0,,
582,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Indian Railways Act 1989,1,0,1,0,,
583,B - SPECIAL & LOCAL LAWS,RAILWAYS ACT,Railway Property (Unlawful Possession) Act 1966,0,1,0,0,,
584,B - SPECIAL & LOCAL LAWS,UNLAWFUL ACTIVITIES (Prevention) Act 1967,NA,4,0,0,0,,
585,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Dowry Prohibition,1035,234,198,154,,
586,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Commission of SATI (Prevention) Act 1987,0,0,0,0,,
587,B - SPECIAL & LOCAL LAWS,CRIMES RELATED TO WOMEN,Indecent Representation of Women (Prohibition) Act 1986,1,0,0,1,,
588,B - SPECIAL & LOCAL LAWS,INDIAN LUNACY ACT,NA,0,0,0,0,,
589,B - SPECIAL & LOCAL LAWS,INDIAN ELECTRICITY ACT,NA,2,3,0,0,,
590,B - SPECIAL & LOCAL LAWS,"COTPA, CIGARETTES AND OTHER TOBACCO PRODUCTS",NA,419,458,95,60,,
591,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"The Karnataka Prevention of Dangerous Activities of Bootleggers, Drug-offenders, Gamblers, Goonda Act",0,0,0,0,,
592,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Banning of Unregulated Deposit Schemes Act,13,0,0,2,,
593,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prevention of Slaughter and Preservation of Cattle Act 2020,108,40,18,37,,
594,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,"Motor Spirit and High Speed Diesel (Regulation of upply, Distribution and Prevention of Malpractice",0,0,0,0,,
595,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Cow Slaughters Act,131,54,17,41,,
596,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Epidemic Deseases Act 2020,0,0,0,0,,
597,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Disaster Management Act 2005,0,0,0,0,,
598,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Excise Act 1965,3871,778,280,519,,
599,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Forest Act 1963,28,3,0,4,,
600,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Education Act 1983 As Amended Upto Date,4,0,0,0,,
601,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Restriction Unuse Act 1956,1,0,1,0,,
602,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka University Act,0,0,0,0,,
603,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Corruption Act,1,1,0,0,,
604,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Medical Registration Act 1965,1,1,0,1,,
605,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land & Revenue Act 1964 & 2007,12,3,3,2,,
606,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Kerosene Dealers License Order 1969,0,0,0,0,,
607,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Society Registration Act,0,0,0,0,,
608,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Minor Mineral Consistent Rule 1994,26,17,4,0,,
609,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Bangalore Development Authority Act,0,1,0,0,,
610,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Beggery Act 1975,0,0,0,0,,
611,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Municipalities Act 1964,1,0,0,1,,
612,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Irrigation Act 1963,1,0,0,0,,
613,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Fire Force act 1964,1,1,1,0,,
614,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Consumer Protection Act 1986,0,0,0,0,,
615,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Lottery Act,26,9,0,5,,
616,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Weight & Measurement Act,0,0,0,0,,
617,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Agriculture Marketing Regulation Act,0,0,0,0,,
618,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Revenue Act,1,0,0,1,,
619,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Mining Act,0,0,0,0,,
620,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Betting Tax Act,0,0,0,0,,
621,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Panchayat Raj Act,0,0,0,0,,
622,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Open Place Disfigurement Act 1951,153,2,6,123,,
623,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Right To Information Act 2000 & 2008,0,0,0,0,,
624,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Urban Development Act 1987,0,0,0,0,,
625,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Town & City Planning Act 1961,0,0,0,0,,
626,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Race Betting Act,0,0,0,0,,
627,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Devadasi's (Prohibition Of Dedication) Act 1982,1,0,0,1,,
628,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Cooperative Society Act,0,0,0,0,,
629,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Entertainment Tax Act 1958,1,0,0,1,,
630,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Land Acquisition (Prohibition) Act 2007,0,0,0,0,,
631,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Money Lender Act 1961,10,0,3,2,,
632,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Stamp Act 1957,0,0,0,0,,
633,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prisoners Act 1963 & 1974,23,1,2,2,,
634,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Private Medical Institution Act 2007,1,0,0,0,,
635,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,MMRD (Mines & Minerals Regulation Development ) Act 1957,54,17,6,10,,
636,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Treasure Trove Act 1962,0,0,0,0,,
637,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Prohibition of Charging Exorbitant Interest Act 2004,8,1,4,0,,
638,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Karnataka Ayurvedic And Unani Pract. Regis. & Medical Prac. Misc. Prov. Act,0,0,0,0,,
639,B - SPECIAL & LOCAL LAWS,KARNATAKA STATE LOCAL ACTS,Other Local Acts,72,17,13,10,,
640,B - SPECIAL & LOCAL LAWS,CYBER CRIME,"Information Technology Act 2000, 2009",11729,1762,2284,2019,,
641,B - SPECIAL & LOCAL LAWS,NATIONAL SECURITY ACT,NA,0,0,0,0,,
642,B - SPECIAL & LOCAL LAWS,POCSO,Custodial Rape,0,0,0,0,,
643,B - SPECIAL & LOCAL LAWS,POCSO,Gang Rape,4,0,1,1,,
644,B - SPECIAL & LOCAL LAWS,POCSO,Rape with Murder,0,0,0,0,,
645,B - SPECIAL & LOCAL LAWS,POCSO,Rape,1461,259,255,212,,
646,B - SPECIAL & LOCAL LAWS,POCSO,Others ,511,77,107,67,,
647,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.1  Custodial Rape,1,0,0,0,,
648,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.2  Gang Rape,8,2,2,0,,
649,C. CRIMES AGAINST WOMEN,Rape (Sec. 376 IPC),1.3  other Cases of Rape,325,65,79,55,,
650,C. CRIMES AGAINST WOMEN,Outraging modesty (Molestation) (sec.354 IPC),NA,3638,635,687,614,,
651,C. CRIMES AGAINST WOMEN,Kidnapping & Abduction of Women: (Sec.366 IPC),NA,64,23,10,14,,
652,C. CRIMES AGAINST WOMEN,Insulting modesty (Eve-Teasing) (Sec.294 & 509 IPC if victim is a woman),NA,59,8,12,11,,
653,C. CRIMES AGAINST WOMEN,Murder for Dowry - by burning (Sec.302 IPC),NA,0,0,0,0,,
654,C. CRIMES AGAINST WOMEN,"Murder for Dowry - by other means
(Sec.302 IPC)",NA,4,0,0,1,,
655,C. CRIMES AGAINST WOMEN,Murder for other reasons,NA,209,36,45,28,,
656,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by burning (Sec.307 IPC),NA,1,0,0,0,,
657,C. CRIMES AGAINST WOMEN,Attempt to Commit Murder for dowry by other means (Sec.307 IPC),NA,21,5,5,5,,
658,C. CRIMES AGAINST WOMEN,Attempt to Commit murder for other reasons,NA,422,89,98,61,,
659,C. CRIMES AGAINST WOMEN,"Dowry Death-by burning
(Sec.304-B IPC)",NA,0,0,0,0,,
660,C. CRIMES AGAINST WOMEN,Dowry Death-by other Means (Sec.304(B) IPC),NA,54,9,10,10,,
661,C. CRIMES AGAINST WOMEN,Cruelty by Husband or Relatives of Husband (Sec.498-A IPC),NA,1672,332,315,310,,
662,C. CRIMES AGAINST WOMEN,Abetment of Suicide (Sec.306 IPC),NA,79,12,9,14,,
663,C. CRIMES AGAINST WOMEN,Immoral Traffic (prevention) Act.,NA,164,34,30,22,,
664,C. CRIMES AGAINST WOMEN,Indecent Representation of Women(Prohibition) Act-1986,NA,1,0,0,1,,
665,C. CRIMES AGAINST WOMEN,Pornography,NA,1,0,0,1,,
666,C. CRIMES AGAINST WOMEN,Offences against Public Servants (Sec.182-188-333-353 IPC),NA,67,0,11,9,,
667,C. CRIMES AGAINST WOMEN,Offences related to Marriage,NA,17,4,4,2,,
668,C. CRIMES AGAINST WOMEN,Cyber Crimes,NA,3443,661,621,589,,
669,D.CRIME AGAINST CHILDREN,"Infanticide/ Foeticide 
(Sec. 315 & 316 IPC)",NA,0,0,0,0,,
670,D.CRIME AGAINST CHILDREN,Rape on Minor,NA,0,0,0,0,,
671,D.CRIME AGAINST CHILDREN,Exposure & abandonment (Sec. 317 IPC),NA,27,4,6,3,,
672,D.CRIME AGAINST CHILDREN,Kidnapping & Abduction of Children,NA,2001,258,374,387,,
673,D.CRIME AGAINST CHILDREN,For Ransom - of Children,NA,6,0,0,2,,
674,D.CRIME AGAINST CHILDREN,of Children - for begging,NA,0,0,0,0,,
675,D.CRIME AGAINST CHILDREN,of Girls - Immoral Purpose,NA,0,0,0,0,,
676,D.CRIME AGAINST CHILDREN,With intent to Steal from Child,NA,0,0,0,0,,
677,D.CRIME AGAINST CHILDREN,Lawful Guardianship,NA,2,0,0,2,,
678,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Prostitution,NA,0,0,0,0,,
679,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - Importing of Girl,NA,0,0,0,0,,
680,D.CRIME AGAINST CHILDREN,Procuration of Minor Girls - For Other Purposes,NA,10,2,1,0,,
681,D.CRIME AGAINST CHILDREN,Selling of girls for Prostitution (Sec.372 IPC),NA,0,0,0,0,,
682,D.CRIME AGAINST CHILDREN,The Prohibition of Child Marriage Act - 2006,NA,86,17,18,22,,
683,D.CRIME AGAINST CHILDREN,POCSO Act,NA,1976,336,363,280,,
684,D.CRIME AGAINST CHILDREN,Death of Children due to miscarriage,NA,19,1,3,6,,
685,D.CRIME AGAINST CHILDREN,Juvenile Justice Act,NA,84,7,19,10,,
686,D.CRIME AGAINST CHILDREN,Child Labour (Pro.& Reg.) Act,NA,49,18,4,19,,
687,D.CRIME AGAINST CHILDREN,Probation of Offenders Act,NA,0,0,0,0,,
688, E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Murder,NA,54,8,4,6,,
689, E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Rape,NA,178,38,27,30,,
690, E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Kidnapping,NA,23,1,3,3,,
691, E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Offences under the Protection of Civil Rights Act.,NA,1,2,0,0,,
692, E. CRIME AGAINST SCHEDULED CASTES /TRIBES BY NON SCs/STs ,Offences under the SC & ST  (prevention of Atrocities)Act 1989 (if the victim is SC),NA,1025,179,156,133,,
,,,,,,,,,
