Sl.NO.,Heads of Crime ,Major heads,Minor Heads,During the current year upto the end of month under review,During the corresponding month of previous year,During the previous month,During the current month,,,,,,,
175,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Fire Arms,2,0,1,0,,,,,,,
176,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Explosives,0,0,0,0,,,,,,,
177,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Idols,4,0,0,0,,,,,,,
178,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultural - Painting,1,0,0,0,,,,,,,
179,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Of Cultrual - Others,118,14,24,20,,,,,,,
180,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Cash,260,68,42,61,,,,,,,
181,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Jewellery,756,107,169,149,,,,,,,
182,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Other Items Not Included Above,812,98,117,155,,,,,,,
183,A - IPC Crime,THEFT (Sec.379 to 389 IPC),In Running Train,17,5,4,1,,,,,,,
184,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Extortion,109,15,21,18,,,,,,,
185,A - IPC Crime,THEFT (Sec.379 to 389 IPC),House Theft,791,196,169,173,,,,,,,
186,A - IPC Crime,THEFT (Sec.379 to 389 IPC),Servant Theft,213,27,32,50,,,,,,,
187,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Land Dispute,444,88,70,118,,,,,,,
188,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Employee - Govt.,0,1,0,0,,,,,,,
189,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Private Sector,1,0,0,0,,,,,,,
190,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Labour - Public Sector,1,0,0,0,,,,,,,
191,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Linguistic,2,0,0,1,,,,,,,
192,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Political ,9,37,2,5,,,,,,,
193,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Regional,4,1,2,0,,,,,,,
194,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Sectarian,0,0,0,0,,,,,,,
195,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Students,4,0,0,0,,,,,,,
196,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Tribal,0,0,0,0,,,,,,,
197,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Due to Village Disputes,17,5,6,2,,,,,,,
198,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Communal,1,0,0,1,,,,,,,
199,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Industrial,3,0,0,0,,,,,,,
200,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Caste,5,0,1,3,,,,,,,
201,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Agrarian,1,0,1,0,,,,,,,
202,A - IPC Crime,RIOTS (Sec.141 to 153 IPC),Others,1171,249,264,267,,,,,,,
203,A - IPC Crime,"OFFENCES AGAINST STATE (Sec. 121 to 130, except 124(A) IPC)",NA,0,0,0,0,,,,,,,
204,A - IPC Crime,"OFFENCES PROMOTING ENEMITY (Sec. 153(A), 154(B) & 505 IPC",NA,50,17,7,5,,,,,,,
205,A - IPC Crime,CRIMINAL BREACH OF TRUST,NA,223,25,34,33,,,,,,,
206,A - IPC Crime,CHEATING (Sec.417 to 420 IPC),NA,2790,339,421,548,,,,,,,
207,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )","Stock Share, Debentrue Certificate",0,0,0,0,,,,,,,
208,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Usage of Counterfeit Stamp,0,0,0,0,,,,,,,
209,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Coins (Sec 231 to 254 IPC),0,0,0,0,,,,,,,
210,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Stamps (Sec.255 to 263(A) IPC),0,0,0,0,,,,,,,
211,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Currency Notes And Bank Notes (Sec. 489 (A) to 489 (E) IPC),16,5,4,2,,,,,,,
212,A - IPC Crime,"COUNTERFEITING (Sec. 231 to 263 (A), 489(A) to 489 (E) IPC )",Of Others,2,0,0,1,,,,,,,
213,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery  ,151,35,24,21,,,,,,,
214,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Organised (Racket),1,0,0,0,,,,,,,
215,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Forgery of Passport,0,0,0,0,,,,,,,
216,A - IPC Crime,"FORGERY (Sec. 465, 468, 471, 473, 476, 477 & 477(A) IPC",Other Forgery,61,13,12,12,,,,,,,
217,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Acid Attack (326(a)),1,0,0,0,,,,,,,
218,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Attempt to Acid Attack (326(b)),5,0,0,0,,,,,,,
219,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Grievous Hurt,535,155,102,118,,,,,,,
220,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Simple Hurt,7362,1359,1511,1708,,,,,,,
221,A - IPC Crime,"CASES OF HURT (Sec. 323 to 335 IPC except 328, 332, 333)",Custodial,1,0,0,0,,,,,,,
222,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Attempt to Commit,0,0,0,0,,,,,,,
223,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Alcoholic Drink (Liquor),1,0,0,1,,,,,,,
224,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cement & Chemical/Fertiliser,0,0,0,0,,,,,,,
225,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Cosmetics,0,0,0,0,,,,,,,
226,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Diesel,0,0,0,0,,,,,,,
227,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Drug/Medicine,0,0,0,0,,,,,,,
228,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Edible Oil,0,0,0,0,,,,,,,
229,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Food Grain,0,0,0,0,,,,,,,
230,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Kerosene,0,0,0,0,,,,,,,
231,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Life Saving Drug,0,0,0,0,,,,,,,
232,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Mobile Oil,0,0,0,0,,,,,,,
233,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petrol,0,0,0,0,,,,,,,
234,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Petroleum Product,0,0,0,0,,,,,,,
235,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Soft Drinks,0,0,0,0,,,,,,,
236,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Spices,1,0,0,0,,,,,,,
237,A - IPC Crime,"ADULTERATION (Sec. 272, 273 to 276 IPC)",Others,2,0,2,0,,,,,,,
238,A - IPC Crime,AFFRAY (Sec. 160 IPC ),NA,220,55,43,51,,,,,,,
239,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Agricultural Produce,39,1,6,5,,,,,,,
240,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Attemp to Commit,0,0,0,0,,,,,,,
241,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Boat / Ship,0,0,0,0,,,,,,,
242,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Dwelling House,8,4,1,0,,,,,,,
243,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Educational Institution,1,0,0,0,,,,,,,
244,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Govt. Property,6,0,1,0,,,,,,,
245,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Industrial Establishment,0,0,0,0,,,,,,,
246,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Place of worship,0,0,0,0,,,,,,,
247,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Public Place,4,2,1,1,,,,,,,
248,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Railway Property,0,0,0,0,,,,,,,
249,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Vital Installation,0,0,0,0,,,,,,,
250,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Warehouse (Godown),2,0,1,0,,,,,,,
251,A - IPC Crime,"ARSON (Sec. 435, 436, 438 IPC )",Others,67,11,13,10,,,,,,,
252,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Attempt To Commit,0,1,0,0,,,,,,,
253,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Contractor,1,0,0,0,,,,,,,
254,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Domestic Servant,0,0,0,0,,,,,,,
255,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Labourer,1,0,0,1,,,,,,,
256,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (General),10,1,2,2,,,,,,,
257,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (SC),1,0,0,0,,,,,,,
258,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Man (ST),0,0,0,0,,,,,,,
259,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Manager/Executive (Other Than Public Servant),0,0,0,0,,,,,,,
260,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)","On Member of Clergy (Christian, Budhist, Jain, Sikh)",0,0,0,0,,,,,,,
261,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",Member of Legislative Assembly / Council (MLA/MLC),0,0,0,0,,,,,,,
262,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Member of Parliament (MP),0,0,0,0,,,,,,,
263,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On other Dignitaries /Public Figures,1,0,0,0,,,,,,,
264,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Press,1,1,0,0,,,,,,,
265,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Professional ,1,0,1,0,,,,,,,
266,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Public Servant,1,0,0,1,,,,,,,
267,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Student,0,0,0,0,,,,,,,
268,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Teacher,0,0,0,0,,,,,,,
269,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Women (General),2,0,0,0,,,,,,,
270,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (SC),0,0,0,0,,,,,,,
271,A - IPC Crime,"ASSAULT (Sec 356, 357 IPC)",On Woman (ST),0,0,0,0,,,,,,,
272,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Attempt to Commit,0,0,0,0,,,,,,,
273,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Caste Issue,9,2,2,0,,,,,,,
274,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Communal Issue,46,4,7,7,,,,,,,
275,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Linguistic Issue,0,0,0,0,,,,,,,
276,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Political Issue,11,0,6,2,,,,,,,
277,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Racial/Ethnic Issue,0,0,0,0,,,,,,,
278,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Regional Issue,13,0,2,0,,,,,,,
279,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Religious Issue,54,4,9,3,,,,,,,
280,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Sectarian Issue,0,1,0,0,,,,,,,
281,A - IPC Crime,COMMUNAL / RELIGION (Sec. 295 to 297 IPC),Others,45,4,14,5,,,,,,,
282,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Conspiracy To Wage War,0,0,0,0,,,,,,,
283,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Related to Substantive Offence,3,0,1,0,,,,,,,
284,A - IPC Crime,"CRIMINAL CONSPIRACY (Sec. 120(B), 121(A) IPC)",Others,11,1,3,2,,,,,,,
285,A - IPC Crime,CRIMINAL INTIMIDATION (Sec. 504 to 508 IPC),NA,1037,160,203,216,,,,,,,
286,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Attempt to Commit,0,0,0,0,,,,,,,
287,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Bank,4,0,1,1,,,,,,,
288,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Business Establishment,0,0,0,0,,,,,,,
289,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Charitable Organisation,0,0,0,0,,,,,,,
290,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Chitfund Organisation,0,0,0,0,,,,,,,
291,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Co-operative Organisation,0,0,0,0,,,,,,,
292,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Commercial Establishment/Shop,0,0,0,0,,,,,,,
293,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Customs Department,0,0,0,0,,,,,,,
294,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Excise Department,0,0,0,0,,,,,,,
295,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Financial Institution,0,0,0,0,,,,,,,
296,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Income Tax Department,0,0,0,0,,,,,,,
297,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Other Government Organisation,0,1,0,0,,,,,,,
298,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Postal Department,0,0,0,0,,,,,,,
299,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Public Sector Undertakings,0,0,0,0,,,,,,,
300,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Railway Department,0,0,0,0,,,,,,,
301,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Revenue Department,0,0,0,0,,,,,,,
302,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Sales Tax Department,0,0,0,0,,,,,,,
303,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Social Organisation (Aided) (N),0,0,0,0,,,,,,,
304,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Transport Authority,0,0,0,0,,,,,,,
305,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Other than religious,0,0,0,0,,,,,,,
306,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Trust - Religious,0,0,0,0,,,,,,,
307,A - IPC Crime,"CRIMINAL MISAPPROPRIATION (Sec. 403, 404 IPC)",Others,3,1,0,0,,,,,,,
308,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Attempt to Commit,8,0,1,4,,,,,,,
309,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Club,0,0,0,0,,,,,,,
310,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hostel,4,1,0,2,,,,,,,
311,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Hotel,6,0,2,0,,,,,,,
312,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),House,278,41,49,55,,,,,,,
313,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Land,616,101,96,148,,,,,,,
314,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Office,23,3,4,9,,,,,,,
315,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Prohibited Places,10,2,0,3,,,,,,,
316,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Religious Place,7,1,2,1,,,,,,,
317,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Restricted Area,8,1,1,3,,,,,,,
318,A - IPC Crime,CRIMINAL TRESPASS (Sec.447 to 452 IPC),Others,105,10,21,16,,,,,,,
319,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband ,500,60,100,106,,,,,,,
320,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Husband And Relative(S) in Law,607,93,82,140,,,,,,,
321,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Relative(S) in Law,11,2,3,2,,,,,,,
322,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Dowry Harassment,260,28,34,77,,,,,,,
323,A - IPC Crime,CRUELTY BY HUSBAND (Sec. 498(A) IPC),Prevention of Gaming,2,0,0,0,,,,,,,
324,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband  ,1,0,0,0,,,,,,,
325,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Husband And Relatives In Law,17,4,3,2,,,,,,,
326,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Relatives in Law,0,0,0,0,,,,,,,
327,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Burning,0,0,0,0,,,,,,,
328,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Hanging,24,8,6,5,,,,,,,
329,A - IPC Crime,DOWRY DEATHS (Sec.304(B) IPC),By Other Means,3,2,0,2,,,,,,,
330,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution,7,4,0,2,,,,,,,
331,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Adulterated Food/Drug,0,0,0,0,,,,,,,
332,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Accident by Air,0,0,0,0,,,,,,,
333,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Boad Accident,0,0,0,0,,,,,,,
334,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Bridge/Dam Collapse,0,0,0,0,,,,,,,
335,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Building Collapse,4,1,1,1,,,,,,,
336,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Caused By Animal,1,0,0,0,,,,,,,
337,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Death Due to Other Cause,39,5,7,6,,,,,,,
338,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Electrocution Accident,15,10,3,7,,,,,,,
339,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Explosion Accident,1,0,1,0,,,,,,,
340,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Fire accident,2,0,0,0,,,,,,,
341,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Gas Leakage Accident,2,0,1,1,,,,,,,
342,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Infrastucture In Construction,31,5,5,7,,,,,,,
343,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Improper Medical Treatment,3,0,0,0,,,,,,,
344,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Custody of Public Servant,0,0,0,0,,,,,,,
345,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Jail/Judicial Custody,1,0,0,0,,,,,,,
346,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),In Police Custody,0,0,0,0,,,,,,,
347,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Industrial Accident (Factory),3,1,0,1,,,,,,,
348,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Inflammable Substance,0,0,0,0,,,,,,,
349,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Mine Accident,0,0,0,0,,,,,,,
350,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Poisonous Substance,0,0,0,0,,,,,,,
351,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Quarry Accident,0,0,0,0,,,,,,,
352,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Spurious Liquor (Hooch) Accident,0,0,0,0,,,,,,,
353,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Railway Accident,0,0,0,0,,,,,,,
354,A - IPC Crime,DEATHS DUE TO RASHNESS/NEGLIGENCE (Sec.304(A) IPC),Others,38,8,6,10,,,,,,,
355,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),National Highways,1642,398,336,328,,,,,,,
356,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),State Highways,1433,313,279,265,,,,,,,
357,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Roads,1867,397,385,334,,,,,,,
358,A - IPC Crime,MOTOR VEHICLE ACCIDENTS FATAL (Sec.304(A) IPC),Other Places,95,21,14,14,,,,,,,
